Tempo; Tamanho; Cont Operações; Algoritmo
11,0000;31250000;15625000;1
19,0000;62500000;31250000;1
33,0000;125000000;62500000;1
74,0000;250000000;125000000;1
202,0000;500000000;250000000;1
12,0000;31250000;62500007;2
23,0000;62500000;125000007;2
70,0000;125000000;250000007;2
135,0000;250000000;500000007;2
276,0000;500000000;1000000007;2
38,0000;12500;78118750;3
110,0000;25000;312487500;3
382,0000;50000;1249975000;3
1743,0000;100000;4999950000;3
7010,0000;200000;19999900000;3
0,0000;3;3;4
0,0000;6;15;4
0,0000;12;287;4
